000000,All Occupations
110000,Management Occupations
111011,Chief Executives
111021,General and Operations Managers
111031,Legislators
112011,Advertising and Promotions Managers
112021,Marketing Managers
112022,Sales Managers
112031,Public Relations and Fundraising Managers
113011,Administrative Services Managers
113021,Computer and Information Systems Managers
113031,Financial Managers
113051,Industrial Production Managers
113061,Purchasing Managers
113071,"Transportation, Storage, and Distribution Managers"
113111,Compensation and Benefits Managers
113121,Human Resources Managers
113131,Training and Development Managers
119013,"Farmers, Ranchers, and Other Agricultural Managers"
119021,Construction Managers
119031,"Education Administrators, Preschool and Childcare Center/Program"
119032,"Education Administrators, Elementary and Secondary School"
119033,"Education Administrators, Postsecondary"
119039,"Education Administrators, All Other"
119041,Architectural and Engineering Managers
119051,Food Service Managers
119071,Gaming Managers
119081,Lodging Managers
119111,Medical and Health Services Managers
119121,Natural Sciences Managers
119131,Postmasters and Mail Superintendents
119141,"Property, Real Estate, and Community Association Managers"
119151,Social and Community Service Managers
119161,Emergency Management Directors
119199,"Managers, All Other"
130000,Business and Financial Operations Occupations
131011,"Agents and Business Managers of Artists, Performers, and Athletes"
131021,"Buyers and Purchasing Agents, Farm Products"
131022,"Wholesale and Retail Buyers, Except Farm Products"
131023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products"
131031,"Claims Adjusters, Examiners, and Investigators"
131032,"Insurance Appraisers, Auto Damage"
131041,Compliance Officers
131051,Cost Estimators
131074,Farm Labor Contractors
131078,"Human Resources, Training, and Labor Relations Specialists, All Other*"
131081,Logisticians
131111,Management Analysts
131121,"Meeting, Convention, and Event Planners*"
131141,"Compensation, Benefits, and Job Analysis Specialists"
131151,Training and Development Specialists
131161,Market Research Analysts and Marketing Specialists*
131199,"Business Operations Specialists, All Other*"
132011,Accountants and Auditors
132021,Appraisers and Assessors of Real Estate
132031,Budget Analysts
132041,Credit Analysts
132051,Financial Analysts
132052,Personal Financial Advisors
132053,Insurance Underwriters
132061,Financial Examiners
132071,Credit Counselors
132072,Loan Officers
132081,"Tax Examiners and Collectors, and Revenue Agents"
132082,Tax Preparers
132099,"Financial Specialists, All Other"
150000,Computer and Mathematical Occupations
151111,Computer and Information Research Scientists
151121,Computer Systems Analysts
151131,Computer Programmers
151132,"Software Developers, Applications"
151133,"Software Developers, Systems Software"
151141,Database Administrators
151142,Network and Computer Systems Administrators*
151150,Computer Support Specialists
151179,"Information Security Analysts, Web Developers, and Computer Network Architects"
151799,"Computer Occupations, All Other*"
152011,Actuaries
152021,Mathematicians
152031,Operations Research Analysts
152041,Statisticians
152091,Mathematical Technicians
152099,"Mathematical Science Occupations, All Other"
170000,Architecture and Engineering Occupations
171011,"Architects, Except Landscape and Naval"
171012,Landscape Architects
171021,Cartographers and Photogrammetrists
171022,Surveyors
172011,Aerospace Engineers
172021,Agricultural Engineers
172031,Biomedical Engineers
172041,Chemical Engineers
172051,Civil Engineers
172061,Computer Hardware Engineers
172071,Electrical Engineers
172072,"Electronics Engineers, Except Computer"
172081,Environmental Engineers
172111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors"
172112,Industrial Engineers
172121,Marine Engineers and Naval Architects
172131,Materials Engineers
172141,Mechanical Engineers
172151,"Mining and Geological Engineers, Including Mining Safety Engineers"
172161,Nuclear Engineers
172171,Petroleum Engineers
172199,"Engineers, All Other"
173011,Architectural and Civil Drafters
173012,Electrical and Electronics Drafters
173013,Mechanical Drafters
173019,"Drafters, All Other"
173021,Aerospace Engineering and Operations Technicians
173022,Civil Engineering Technicians
173023,Electrical and Electronics Engineering Technicians
173024,Electro-Mechanical Technicians
173025,Environmental Engineering Technicians
173026,Industrial Engineering Technicians
173027,Mechanical Engineering Technicians
173029,"Engineering Technicians, Except Drafters, All Other"
173031,Surveying and Mapping Technicians
190000,"Life, Physical, and Social Science Occupations"
191011,Animal Scientists
191012,Food Scientists and Technologists
191013,Soil and Plant Scientists
191021,Biochemists and Biophysicists
191022,Microbiologists
191023,Zoologists and Wildlife Biologists
191029,"Biological Scientists, All Other"
191031,Conservation Scientists
191032,Foresters
191041,Epidemiologists
191042,"Medical Scientists, Except Epidemiologists"
191099,"Life Scientists, All Other"
192011,Astronomers
192012,Physicists
192021,Atmospheric and Space Scientists
192031,Chemists
192032,Materials Scientists
192041,"Environmental Scientists and Specialists, Including Health"
192042,"Geoscientists, Except Hydrologists and Geographers"
192043,Hydrologists
192099,"Physical Scientists, All Other"
193011,Economists
193022,Survey Researchers
193031,"Clinical, Counseling, and School Psychologists"
193032,Industrial-Organizational Psychologists
193039,"Psychologists, All Other"
193041,Sociologists
193051,Urban and Regional Planners
193091,Anthropologists and Archeologists
193092,Geographers
193093,Historians
193094,Political Scientists
193099,"Social Scientists and Related Workers, All Other"
194011,Agricultural and Food Science Technicians
194021,Biological Technicians
194031,Chemical Technicians
194041,Geological and Petroleum Technicians
194051,Nuclear Technicians
194061,Social Science Research Assistants
194091,"Environmental Science and Protection Technicians, Including Health"
194092,Forensic Science Technicians
194093,Forest and Conservation Technicians
194099,"Life, Physical, and Social Science Technicians, All Other"
210000,Community and Social Service Occupations
211011,Substance Abuse and Behavioral Disorder Counselors
211012,"Educational, Guidance, School, and Vocational Counselors"
211013,Marriage and Family Therapists
211014,Mental Health Counselors
211015,Rehabilitation Counselors
211019,"Counselors, All Other"
211021,"Child, Family, and School Social Workers"
211022,Healthcare Social Workers
211023,Mental Health and Substance Abuse Social Workers
211029,"Social Workers, All Other"
211091,Health Educators
211092,Probation Officers and Correctional Treatment Specialists
211093,Social and Human Service Assistants
211798,"Community and Social Service Specialists, All Other*"
212011,Clergy
212021,"Directors, Religious Activities and Education"
212099,"Religious Workers, All Other"
230000,Legal Occupations
